loss,val_loss
430239842304.0,418917089280.0
429129302016.0,415251202048.0
413296033792.0,380854206464.0
334524448768.0,260019503104.0
181111996416.0,120955822080.0
103324205056.0,96160579584.0
97369964544.0,93883662336.0
95727091712.0,92702302208.0
94044545024.0,91141595136.0
92322447360.0,89385451520.0
90550263808.0,87573250048.0
88687755264.0,85815214080.0
86792536064.0,84132716544.0
84773617664.0,81863114752.0
82671271936.0,80124387328.0
80473333760.0,78602534912.0
78265122816.0,75392737280.0
75901091840.0,73761808384.0
73511501824.0,71397613568.0
71024459776.0,69856935936.0
68553580544.0,67900395520.0
66048057344.0,64191762432.0
63593455616.0,63244906496.0
61387784192.0,61584605184.0
59261526016.0,60456697856.0
57379000320.0,57947643904.0
55696764928.0,57330868224.0
54233989120.0,57087119360.0
53016944640.0,55927205888.0
51985592320.0,56132534272.0
51069173760.0,55110103040.0
50223513600.0,54129000448.0
49496170496.0,53378228224.0
48822091776.0,53965778944.0
48171810816.0,53072760832.0
47602659328.0,53137674240.0
47075901440.0,52450967552.0
46572810240.0,51963736064.0
46088867840.0,50857971712.0
45665288192.0,51745267712.0
45230944256.0,50457001984.0
44809183232.0,51130011648.0
44465061888.0,49729052672.0
44079919104.0,50545504256.0
43753390080.0,49789038592.0
43401764864.0,49931915264.0
43107446784.0,49140387840.0
42750320640.0,47102607360.0
42459131904.0,49274605568.0
42128211968.0,46600114176.0
41806966784.0,47724908544.0
41486032896.0,47216128000.0
41189437440.0,45357207552.0
40880918528.0,46517927936.0
40577167360.0,45317566464.0
40283582464.0,45154717696.0
39979651072.0,44697501696.0
39688491008.0,45035356160.0
39386587136.0,43263336448.0
39141597184.0,43400323072.0
38874501120.0,43436306432.0
38671286272.0,43216285696.0
38351790080.0,42021023744.0
38131376128.0,41783353344.0
37932449792.0,43002089472.0
37692747776.0,41713131520.0
37525331968.0,41623896064.0
37261488128.0,41746243584.0
37071437824.0,42426753024.0
36885147648.0,42356039680.0
36724879360.0,40886820864.0
36545966080.0,40573046784.0
36399263744.0,39805128704.0
36284346368.0,40422768640.0
36112629760.0,39247409152.0
35960225792.0,39518371840.0
35836157952.0,39478386688.0
35695706112.0,39496114176.0
35568693248.0,39583682560.0
35478765568.0,38005145600.0
35365421056.0,38012571648.0
35251781632.0,38393221120.0
35132112896.0,39156744192.0
35155038208.0,37445025792.0
34956423168.0,37712375808.0
34831523840.0,36610273280.0
34880937984.0,37258629120.0
34719633408.0,38252408832.0
34658279424.0,37395103744.0
34539462656.0,37537284096.0
34518413312.0,36949483520.0
34398724096.0,37148471296.0
34337222656.0,37037133824.0
34266028032.0,37552893952.0
34208507904.0,36793556992.0
34135431168.0,37616185344.0
34055409664.0,36039647232.0
34056824832.0,36203069440.0
33963024384.0,36740194304.0
33891371008.0,36820852736.0
33829408768.0,37775233024.0
33825452032.0,36807176192.0
33842698240.0,37124521984.0
33736873984.0,36292149248.0
33687820288.0,36023099392.0
33613125632.0,36716867584.0
33567809536.0,35605385216.0
33525395456.0,36726812672.0
33509619712.0,35731353600.0
33439582208.0,36334751744.0
33412702208.0,34577854464.0
33346230272.0,35213070336.0
33310398464.0,35476893696.0
33261441024.0,36545486848.0
33236453376.0,35901296640.0
33192282112.0,35356774400.0
33178146816.0,35688947712.0
33145667584.0,35270299648.0
33115613184.0,35120746496.0
33089312768.0,35193344000.0
33037008896.0,35007922176.0
32986028032.0,34972393472.0
32958429184.0,34389913600.0
32900806656.0,35033759744.0
32895178752.0,34712379392.0
32821739520.0,35984625664.0
32850917376.0,35063771136.0
32784490496.0,35448713216.0
32749449216.0,35778465792.0
32719276032.0,34658017280.0
32690067456.0,35212906496.0
32640536576.0,35261018112.0
32603207680.0,35048226816.0
32625537024.0,34682089472.0
32536909824.0,34850291712.0
32514627584.0,34179602432.0
32506091520.0,34212526080.0
32499761152.0,33653284864.0
32456962048.0,34855297024.0
32446879744.0,34826776576.0
32392931328.0,33960906752.0
32370653184.0,34843168768.0
32330442752.0,34504122368.0
32338987008.0,34012313600.0
32274235392.0,33445879808.0
32270295040.0,34639388672.0
32277143552.0,33839568896.0
32236595200.0,33426778112.0
32207857664.0,34155360256.0
32154574848.0,34739060736.0
32140756992.0,34712162304.0
32122783744.0,34031233024.0
32080754688.0,34427047936.0
32121452544.0,34672431104.0
32094756864.0,33986662400.0
32025106432.0,34179438592.0
32007653376.0,34257197056.0
32031340544.0,33917581312.0
31970988032.0,33927870464.0
31962480640.0,33720440832.0
31911221248.0,33964830720.0
31903150080.0,34705805312.0
31911356416.0,33867812864.0
31877392384.0,34032302080.0
31839799296.0,34480517120.0
31861401600.0,33462317056.0
31798802432.0,34412937216.0
31813386240.0,33988784128.0
31778230272.0,34913918976.0
31793770496.0,35101233152.0
31771285504.0,34954969088.0
31730388992.0,34903412736.0
31725846528.0,33469915136.0
31674621952.0,34130014208.0
31669233664.0,33256892416.0
31649900544.0,34058268672.0
31625523200.0,33337305088.0
31638960128.0,34254802944.0
31630000128.0,33941862400.0
31578593280.0,34086844416.0
31560812544.0,33636929536.0
31547998208.0,34155915264.0
31557367808.0,33700112384.0
31498651648.0,33513496576.0
31498100736.0,33368000512.0
31517042688.0,34817486848.0
31483697152.0,34300207104.0
31446972416.0,34045820928.0
31434024960.0,33448013824.0
31426021376.0,33997953024.0
31416215552.0,34426200064.0
31467141120.0,33310142464.0
31379884032.0,33549922304.0
31394260992.0,33913800704.0
31369797632.0,35131125760.0
31348783104.0,33628614656.0
31350880256.0,33392041984.0
31292522496.0,33932269568.0
31278391296.0,33425860608.0
31272263680.0,34592690176.0
31279431680.0,34623635456.0
31249563648.0,34459062272.0
31226736640.0,34010693632.0
31247237120.0,34362355712.0
31239559168.0,35478544384.0
31208947712.0,33824073728.0
31190722560.0,33967769600.0
31162400768.0,34272561152.0
31172456448.0,34344986624.0
31157770240.0,33850738688.0
31190808576.0,33259188224.0
31120506880.0,34181453824.0
31093323776.0,34139617280.0
31097333760.0,33683263488.0
31136610304.0,34232999936.0
31042379776.0,34048495616.0
31093364736.0,34294710272.0
31010779136.0,34236835840.0
31035254784.0,34745044992.0
30994700288.0,33214175232.0
31003697152.0,34626359296.0
30987513856.0,33929799680.0
31005243392.0,33429811200.0
31026716672.0,34854084608.0
30955218944.0,35822673920.0
31129358336.0,34575609856.0
30920372224.0,34094723072.0
30910607360.0,34068316160.0
30899070976.0,34271107072.0
30895775744.0,33268865024.0
30911217664.0,34336862208.0
30874820608.0,34095200256.0
30861735936.0,34739003392.0
30862391296.0,34941554688.0
30849873920.0,33749518336.0
30816104448.0,35383115776.0
30855510016.0,32941836288.0
30804897792.0,34452140032.0
30797451264.0,34374516736.0
30808043520.0,33595699200.0
30794975232.0,34463068160.0
30787653632.0,34153170944.0
30775132160.0,33203685376.0
30744647680.0,33610919936.0
30753232896.0,33855315968.0
30704455680.0,34255988736.0
30720198656.0,34143012864.0
30744299520.0,33515165696.0
30692354048.0,34190635008.0
30677389312.0,33596647424.0
30692270080.0,34871373824.0
30712940544.0,33588064256.0
30645970944.0,34272382976.0
30671892480.0,34128078848.0
30640261120.0,34420940800.0
30644627456.0,34532560896.0
30637737984.0,34028695552.0
30597795840.0,33403009024.0
30622791680.0,34865197056.0
30592579584.0,33872631808.0
30584082432.0,34154600448.0
30596016128.0,34771292160.0
30580877312.0,34415161344.0
30581233664.0,33678143488.0
30537787392.0,34472923136.0
30519937024.0,34807418880.0
30525755392.0,34217461760.0
30510645248.0,33980690432.0
30495524864.0,34192072704.0
30504624128.0,33702594560.0
30522796032.0,34185488384.0
30454257664.0,34301722624.0
30453536768.0,34924277760.0
30458914816.0,32950636544.0
30482601984.0,35067199488.0
30430158848.0,34166145024.0
30431987712.0,34376568832.0
30454822912.0,34502746112.0
30486077440.0,34740174848.0
30403014656.0,33602355200.0
30382913536.0,34303082496.0
30394226688.0,34544922624.0
30367213568.0,34172207104.0
30364116992.0,34107033600.0
30324482048.0,33593161728.0
30402113536.0,34026407936.0
30386929664.0,34651049984.0
30335358976.0,34604720128.0
30326642688.0,34631806976.0
30283997184.0,32024291328.0
30370297856.0,35011264512.0
30284650496.0,34288549888.0
30335072256.0,34647736320.0
30303440896.0,33534756864.0
30312204288.0,33233125376.0
30252306432.0,34253256704.0
30259814400.0,33838706688.0
30235230208.0,34077190144.0
30225082368.0,34036160512.0
30245222400.0,35890835456.0
30281543680.0,34411626496.0
30232250368.0,33941016576.0
30215127040.0,33276870656.0
30192465920.0,33575471104.0
30200223744.0,35241263104.0
30188199936.0,34051139584.0
30188773376.0,35210551296.0
30180818944.0,33926287360.0
30141704192.0,34912002048.0
30153678848.0,34643927040.0
30138185728.0,33540114432.0
30135267328.0,33610876928.0
30157430784.0,34977124352.0
30153162752.0,35055214592.0
30115506176.0,34126467072.0
30109665280.0,35402018816.0
30073505792.0,34601943040.0
30072911872.0,35751477248.0
30064941056.0,35079450624.0
30110824448.0,34255486976.0
30071390208.0,33938604032.0
30031890432.0,34319167488.0
30043078656.0,34592153600.0
30001479680.0,34200113152.0
30015680512.0,34373083136.0
29990610944.0,34394013696.0
29978767360.0,34147917824.0
30017042432.0,35015303168.0
29976072192.0,33682202624.0
29969577984.0,33697681408.0
29951123456.0,34109419520.0
29903497216.0,34689032192.0
29941358592.0,35054190592.0
29900863488.0,33780633600.0
29921366016.0,34008242176.0
29936635904.0,34553860096.0
29895587840.0,34070323200.0
29874188288.0,33469556736.0
29893941248.0,33853704192.0
29884092416.0,33892122624.0
29850402816.0,34423054336.0
29798752256.0,35313106944.0
29816164352.0,33771724800.0
29831579648.0,34148677632.0
29832335360.0,33571192832.0
29789917184.0,34677432320.0
29807937536.0,33680920576.0
29794191360.0,34126592000.0
29777106944.0,34041833472.0
29740331008.0,34357143552.0
29734371328.0,33111234560.0
29784424448.0,34636976128.0
29768331264.0,33652264960.0
29690959872.0,34979409920.0
29731469312.0,34444386304.0
29700577280.0,33421088768.0
29700159488.0,34485563392.0
29684142080.0,34337710080.0
29672620032.0,33066786816.0
29644793856.0,33892114432.0
29649932288.0,33625595904.0
29664137216.0,34554970112.0
29588455424.0,35252355072.0
29621807104.0,34438963200.0
29598953472.0,33873436672.0
29606866944.0,33641658368.0
29571180544.0,34324580352.0
29574541312.0,33959581696.0
29599807488.0,34740465664.0
29572216832.0,33570011136.0
29534849024.0,33868173312.0
29509713920.0,33406697472.0
29521541120.0,33776687104.0
29504110592.0,33927090176.0
29474447360.0,34369839104.0
29552087040.0,33526925312.0
29510113280.0,33574289408.0
29459660800.0,33945018368.0
29436028928.0,33304369152.0
29491812352.0,34978410496.0
29420449792.0,34189402112.0
29433769984.0,34472173568.0
29382617088.0,33568653312.0
29350471680.0,34230996992.0
29373927424.0,33414139904.0
29367154688.0,33813737472.0
29325545472.0,32872955904.0
29374455808.0,35217801216.0
29307172864.0,33918294016.0
29298202624.0,34294882304.0
29298479104.0,35537108992.0
29283104768.0,35160895488.0
29302345728.0,34151936000.0
29216225280.0,34100709376.0
29215272960.0,33264517120.0
29230282752.0,34085013504.0
29160552448.0,33945049088.0
29197584384.0,34009589760.0
29192261632.0,34147651584.0
29159563264.0,33791959040.0
